brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Mercedes Benz,E Class,2010.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,320000000
Hyundai,Santa Fe,2013.0,107000.0,Xăng,Tự động,Hàn Quốc,SUV / Cross over,7.0,Đã sử dụng,485000000
Honda,HR-V,2024.0,3700.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,690000000
Toyota,Innova,2006.0,160000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,164000000
Mercedes Benz,S Class,2020.0,17777.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,2638000000
Mercedes Benz,C Class,2017.0,140000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,900000000
Honda,Civic,2007.0,220000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,225000000
Mercedes Benz,GLC Class,2021.0,60000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1499000000
Mercedes Benz,S Class,2014.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1099000000
Mercedes Benz,E Class,2024.0,20.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,2159000000
MG,MGZS,2023.0,10000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,455000000
Honda,Civic,2007.0,60000.0,Xăng,Tự động,Nhật Bản,Sedan,5.0,Đã sử dụng,214999999
Mercedes Benz,GLC,2018.0,60000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1125000000
Toyota,Corolla Cross,2021.0,38000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,705000000
Mitsubishi,Outlander,2019.0,92000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,7.0,Đã sử dụng,630000000
Mercedes Benz,C Class,2012.0,52.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,329000000
Mitsubishi,Outlander,2022.0,26000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,720000000
VinFast,Fadil,2021.0,42300.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,310000000
Mercedes Benz,E Class,2011.0,119000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,359000000
Kia,Sorento,2010.0,118000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,380000000
Kia,Sorento,2015.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,7.0,Đã sử dụng,430000000
Kia,K3,2015.0,150000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,345000000
Toyota,Vios,2017.0,120000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,280000000
Kia,Carnival,2022.0,50000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,1240000000
Toyota,Innova,2021.0,57000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,668000000
VinFast,Fadil,2022.0,40000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,330000000
Hyundai,Santa Fe,2017.0,79000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,630000000
Toyota,Wigo,2019.0,45500.0,Xăng,Tự động,Nước khác,Hatchback,5.0,Đã sử dụng,285000000
