brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
BMW,5 Series,2018.0,48000.0,Xăng,Tự động,Nước khác,Sedan,4.0,1289000000
Ford,Territory,2023.0,19900.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,779000000
Ford,Transit,2019.0,155000.0,Dầu,Số sàn,Việt Nam,Minivan (MPV),16.0,490000000
Mitsubishi,Outlander,2021.0,60000.0,Xăng,5,Việt Nam,SUV / Cross over,7.0,659000000
Ford,Everest,2024.0,16668.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,1315000000
Honda,City,2023.0,28800.0,Xăng,Tự động,Việt Nam,Sedan,5.0,510000000
Toyota,Wigo,2018.0,60000.0,Xăng,Tự động,Nước khác,Hatchback,5.0,275000000
Ford,Transit,2024.0,7900.0,Dầu,Số sàn,Việt Nam,Minivan (MPV),6.0,815000000
Mercedes Benz,GLC,2022.0,45000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,5.0,1489000000
Mercedes Benz,GLC,2021.0,50000.0,Xăng,Tự động,Đức,SUV / Cross over,5.0,1475000000
Mazda,CX 5,2018.0,76000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,635000000
VinFast,Lux A2.0,2021.0,25000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,570000000
Kia,Soluto,2019.0,80000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,245000000
Ford,Ranger,2022.0,46000.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,698000000
Mercedes Benz,E Class,2016.0,68000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,828000000
Volvo,S90,2021.0,21000.0,Xăng,Tự động,Nước khác,Sedan,5.0,1539000000
Mercedes Benz,C Class,2020.0,42000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,859000000
Mitsubishi,Xpander,2022.0,8888.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,556000000
Mercedes Benz,E Class,2019.0,65000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1199000000
Toyota,Innova,2007.0,200000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,185000000
