brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Mercedes Benz,E Class,2010.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,320000000
Hyundai,Santa Fe,2013.0,107000.0,Xăng,Tự động,Hàn Quốc,SUV / Cross over,7.0,485000000
Honda,HR-V,2024.0,3700.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,690000000
Toyota,Innova,2006.0,160000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,164000000
Mercedes Benz,S Class,2020.0,17777.0,Xăng,Tự động,Việt Nam,Sedan,5.0,2638000000
Mercedes Benz,C Class,2017.0,140000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,900000000
Honda,Civic,2007.0,220000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,225000000
Mercedes Benz,GLC Class,2021.0,60000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,1499000000
Mercedes Benz,S Class,2014.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1099000000
Mercedes Benz,E Class,2024.0,20.0,Xăng,Tự động,Việt Nam,Sedan,5.0,2159000000
MG,MGZS,2023.0,10000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,455000000
Honda,Civic,2007.0,60000.0,Xăng,Tự động,Nhật Bản,Sedan,5.0,214999999
Mercedes Benz,GLC,2018.0,60000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,1125000000
Toyota,Corolla Cross,2021.0,38000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,705000000
Mitsubishi,Outlander,2019.0,92000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,7.0,630000000
Mercedes Benz,C Class,2012.0,52.0,Xăng,Tự động,Việt Nam,Sedan,5.0,329000000
Mitsubishi,Outlander,2022.0,26000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,8.0,720000000
VinFast,Fadil,2021.0,42300.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,310000000
Mercedes Benz,E Class,2011.0,119000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,359000000
Kia,Sorento,2010.0,118000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,380000000
Kia,Sorento,2015.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,7.0,430000000
Kia,K3,2015.0,150000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,345000000
Toyota,Vios,2017.0,120000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,280000000
Kia,Carnival,2022.0,50000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,1240000000
Toyota,Innova,2021.0,57000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,668000000
VinFast,Fadil,2022.0,40000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,330000000
Hyundai,Santa Fe,2017.0,79000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,630000000
Toyota,Wigo,2019.0,45500.0,Xăng,Tự động,Nước khác,Hatchback,5.0,285000000
Hyundai,Accent,2015.0,100000.0,Xăng,Tự động,Hàn Quốc,Sedan,5.0,280000000
Mazda,3,2021.0,28000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,580000000
MG,MG5,2022.0,29000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,435000000
Lexus,ES,2023.0,12000.0,Xăng,Tự động,Nhật Bản,Sedan,5.0,2533000000
Ford,Everest,2018.0,90000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,799000000
Mercedes Benz,GLC,2017.0,50000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,888000000
Mercedes Benz,GLC Class,2022.0,28000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,1599000000
Mazda,3,2022.0,23000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,540000000
Mercedes Benz,S Class,2019.0,29000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,2198000000
Toyota,Innova,2018.0,99000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,411000000
Volvo,XC60,2019.0,60000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,1385000000
Mercedes Benz,Sprinter,2010.0,300000.0,Dầu,Số sàn,Việt Nam,Van,16.0,215000000
Toyota,Sienna,2010.0,130000.0,Xăng,Tự động,Mỹ,Minivan (MPV),7.0,639000000
Toyota,Vios,2022.0,38000.0,Xăng,Tự động,Việt Nam,Sedan,2.0,438000000
Chevrolet,Cruze,2015.0,110000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,262000000
Mazda,BT 50,2015.0,18400.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,335456789
Toyota,Innova,2018.0,85000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,538000000
Kia,Morning,2013.0,200000.0,Xăng,Số sàn,Việt Nam,Hatchback,5.0,109000000
Hyundai,Solati,2019.0,160000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,16.0,780000000
Toyota,Innova,2010.0,138000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,285000000
Chevrolet,Captiva,2007.0,100000.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,7.0,165000000
Kia,Carnival,2021.0,94000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,1050000000
Mercedes Benz,GLC,2018.0,52000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,1060000000
Toyota,Corolla Altis,2020.0,55689.0,Xăng,Tự động,Việt Nam,Sedan,5.0,570000000
Kia,Carnival,2022.0,58000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),8.0,1155000000
Mazda,CX 5,2023.0,20000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,786000000
Peugeot,2008,2022.0,76000.0,Xăng,Tự động,Nước khác,Kiểu dáng khác,5.0,650000000
Toyota,Corolla Altis,2018.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,475000000
Toyota,Vios,2019.0,90000.0,Xăng,Số sàn,Nước khác,Sedan,5.0,168000000
Toyota,Fortuner,2011.0,130000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,315000000
Hyundai,Grand i10,2018.0,77000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,198000000
Honda,Civic,2020.0,5678.0,Xăng,Tự động,Thái Lan,Sedan,5.0,900000000
Honda,Civic,2022.0,22000.0,Xăng,Tự động,Thái Lan,Sedan,2.0,775000000
Mitsubishi,Outlander,2020.0,22000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,615000000
Toyota,Land Cruiser Prado,2018.0,120000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,7.0,1880000000
Mercedes Benz,GLC,2016.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,830000000
Lexus,RX,2022.0,26000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,5.0,3215000000
Mazda,3,2014.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,295000000
Isuzu,Hi lander,2004.0,120000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,98000000
Hyundai,Elantra,2024.0,6000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,628000000
Hyundai,Grand i10,2016.0,456.0,Xăng,Số sàn,Ấn Độ,Hatchback,5.0,148000000
Hyundai,Grand i10,2016.0,5678.0,Xăng,Số sàn,Ấn Độ,Hatchback,5.0,148000000
VinFast,VF6,2024.0,0.0,Điện,Tự động,Việt Nam,SUV / Cross over,5.0,689000000
Peugeot,3008,2014.0,110000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,320000000
