id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
127377128,VF8 Eco 2023 GF Mua Pin Catl thu cũ giảm 70tr,,,,765000000,,,,,,,,,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Đăng 15 phút trước,2025-09-06 16:35:25,,
127521092,xe Ford Everest 2015  - 950000 km,,,,325000000,,,,,,,,,"Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",Đăng 1 ngày trước,2025-09-06 16:35:26,,
127541591,"Mazda 6 2016 2.5 AT Full Option, Xe chất!",,,,395000000,,,,,,,,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",Đăng 17 phút trước,2025-09-06 16:35:28,,
127541867,Ford Ranger 2019 Raptor 2.0L 4x4 AT - 19000 km,,,,950000000,,,,,,,,,"Thị trấn Lai Vung, Huyện Lai Vung, Đồng Tháp",Đăng 3 phút trước,2025-09-06 16:35:29,,
126722890,Toyota Hiace 2007 tải trọng 800kg 6 chỗ ngồi,,,,165000000,,,,,,,,,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đăng 1 tháng trước,2025-09-06 16:35:31,,
127516699,Wildtrak 2020 Thái 1 chủ từ đầu xe bán tại Ford,,,,734000000,,,,,,,,,"Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",Đăng 22 phút trước,2025-09-06 16:35:37,,
127534437,Mercedes Benz  2017 E300 AMG - 61000 km,,,,1050000000,,,,,,,,,"Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội",Đăng 21 phút trước,2025-09-06 16:35:39,,
126925159,Kia Sedona 2018 2.2 DATH Full dầu 1 chủ máy zin,,,,615000000,,,,,,,,,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đăng 20 phút trước,2025-09-06 16:35:40,,
127511986,Mitsubishi Xpander AT 2025 tặng 100% trước bạ,,,,100000000,,,,,,,,,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Đăng 1 ngày trước,2025-09-06 16:35:42,,
126215809,LEXUS NX 350 F Sport - 8000 km SX 22,,,,2880000000,,,,,,,,,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 2 tháng trước,2025-09-06 16:35:43,,
127541034,Hyundai i20 2011 1.4 AT - 86000 km,,,,225000000,,,,,,,,,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",Đăng 39 phút trước,2025-09-06 16:35:48,,
127490201,Lynk&Co 06 2025 - 1000 km,,,,700000000,,,,,,,,,"Phường 1, Quận 11, Tp Hồ Chí Minh",Đăng 2 ngày trước,2025-09-06 16:35:49,,
127541007,Ford Ranger 2024 Sport 4X4 AT siêu lướt 6000 km,,,,799000000,,,,,,,,,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 40 phút trước,2025-09-06 16:35:50,,
127312521,"[ES300h] Màu Đen, sản xuất 2023. Xe đẹp 01 chủ🇻🇳",,,,2980000000,,,,,,,,,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đăng 12 ngày trước,2025-09-06 16:35:51,,
126740515,Mercedes Benz S500 Maybach 2015,,,,1299000000,,,,,,,,,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-06 16:35:57,,
127140589,FORD RANGER SPORT 2024 siêu lướt 6000 Km,,,,799000000,,,,,,,,,"Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 giờ trước,2025-09-06 16:35:58,,
124596224,Mitsubishi Attrage 2021 Premium 1.2 CVT siêu mới,,,,358000000,,,,,,,,,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Đăng 1 giờ trước,2025-09-06 16:36:00,,
126314432,Bán xe Hyundai Grand Starex CVX Tải van 5 Chỗ,,,,345000000,,,,,,,,,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đăng 2 tháng trước,2025-09-06 16:36:02,,
127540708,Hyundai Tucson 2018 2.0 AT Diesel Spec - 89000 km,,,,615000000,,,,,,,,,"Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 giờ trước,2025-09-06 16:36:03,,
126682513,Toyota Hiace 2008 van 3 chỗ tải 940kg chạy phố,,,,199000000,,,,,,,,,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đăng 1 tháng trước,2025-09-06 16:36:07,,
123895883,HERIO TRẢ TRƯỚC 70 TRIỆU- TẶNG BHVC-12 TRIỆU TM,,,,479000000,,,,,,,,,"Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",Đăng 5 tháng trước,2025-09-06 16:36:09,,
127540448,BMW 74LI sx 2022 màu xanh Cavasite siêu êm ái,,,,2850000000,,,,,,,,,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đăng 1 giờ trước,2025-09-06 16:36:10,,
127110636,Ford Transit 2019 Limousine - 110000 km,,,,445000000,,,,,,,,,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Đăng 21 ngày trước,2025-09-06 16:36:18,,
125969229,Bán Mercedes Benz Vito 2016 Tourer 121 siêu cọp,,,,615000000,,,,,,,,,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đăng 1 giờ trước,2025-09-06 16:36:19,,
127470550,Kia Forte 1.6AT 2008 nhập khẩu - 120000 km,,,,185000000,,,,,,,,,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Đăng 1 giờ trước,2025-09-06 16:36:25,,
127539707,Mazda 6 2020 2.5L Signature Premium  - 68000 km,,,,608000000,,,,,,,,,"Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 giờ trước,2025-09-06 16:36:27,,
127473761,Kia Carnival 2022- 2.2D Signature đẹp như mới,,,,1250000000,,,,,,,,,"Phường 3, Quận 5, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:36:28,,
127539678,Volkswagen Viloran 2024 Luxury - 30000 km,,,,1999000000,,,,,,,,,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",Đăng 1 giờ trước,2025-09-06 16:36:30,,
127539716,Mercedes Benz C Class 2013 C200 - 120000 km,,,,345000000,,,,,,,,,"Phường Hiệp Sơn, Thị xã Kinh Môn, Hải Dương",Đăng 1 giờ trước,2025-09-06 16:36:31,,
125742085,City Car bán xe Nissan Navara 2019 EL Premium R,,,,465000000,,,,,,,,,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đăng 2 giờ trước,2025-09-06 16:36:37,,
127539510,Mitsubishi Xpander 2024 Premium 1.5 AT - 29000 km,,,,586000000,,,,,,,,,"Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:36:39,,
126579268,Kia Morning 2016 1.0 MT - 300000 km có hỗ trợ góp,,,,120000000,,,,,,,,,"Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-06 16:36:41,,
127539575,"Daewoo 1.5l, bản béc phun. điều hòa đầy đủ",,,,19000000,,,,,,,,,"Phường Tân Hiệp, Thị xã Tân Uyên, Bình Dương",Đăng 2 giờ trước,2025-09-06 16:36:43,,
127539209,Mercedes Benz C43 AMG 4Matic -2024 Bank 90%,,,,1998000000,,,,,,,,,"Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:36:48,,
127539371,Kia Sedona 2021 2.2 DAT LUXURY,,,,825000000,,,,,,,,,"Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:36:49,,
126643474,GIÁ XE 275 TRIỆU – NHẬN XE CHỈ VỚI 69 TRIỆU,,,,275000000,,,,,,,,,"Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-06 16:36:51,,
127369253,Honda HR-V 2023 RS - 19000 km,,,,779000000,,,,,,,,,"Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:36:56,,
123928647,Cần bán xe 9 chỗ  Hyundai Grand Starex 2016,,,,485000000,,,,,,,,,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đăng 2 giờ trước,2025-09-06 16:36:58,,
126781789,Toyota Avanza Premio 2022 CVT - 39 km,,,,465000000,,,,,,,,,"Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-06 16:36:59,,
127334749,Raptor 2021 4x4 biển A - Thương Lượng - Hỗ Trợ Góp,,,,975000000,,,,,,,,,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Đăng 11 ngày trước,2025-09-06 16:37:01,,
126331540,Mazda CX 3 2023 1.5 Luxury - 14000 km,,,,540000000,,,,,,,,,"Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:37:02,,
127479237,Raptor 2021 4x4 biển A - 68.000 km - Hỗ Trợ Góp,,,,988000000,,,,,,,,,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:37:09,,
127538849,Ford Ranger XLS 2.0AT 4x4 sx 2024 màu trắng đẹp,,,,699000000,,,,,,,,,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đăng 2 giờ trước,2025-09-06 16:37:11,,
126781789,Toyota Avanza Premio 2022 CVT - 39 km,,,,465000000,,,,,,,,,"Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-09-06 16:37:13,,
127538765,Kia Forte 2011 SX 1.6 MT - 150000 km,,,,198000000,,,,,,,,,"Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng",Đăng 2 giờ trước,2025-09-06 16:37:19,,
127021609,SYM 2008 - 12345 km,,,,46000000,,,,,,,,,"Xã Vĩnh Phương, Thành phố Nha Trang, Khánh Hòa",Đăng 25 ngày trước,2025-09-06 16:37:20,,
127538655,Ford Ranger 2020 XLS 2.2L 4x2 AT - 88000 km,,,,495000000,,,,,,,,,"Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng",Đăng 2 giờ trước,2025-09-06 16:37:22,,
127538475,Kia Sorento 2016 2WD 2.4 GATH - 145000 km,,,,488000000,,,,,,,,,"Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 2 giờ trước,2025-09-06 16:37:27,,
